中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
132.145.232.210,443,2a0b:21c0:1007:1c9:0:8af5:3306:3b7f,DE,Frankfurt,隧道,91 ms,143 Mbps,18329 kB/s
193.123.39.206,443,2606:f240:f00:2be4:0:104:17e3:c3ba,US,Frankfurt,隧道,94 ms,209 Mbps,26828 kB/s
144.24.164.224,443,2606:f240:f00:dd8d:0:5614:b4a5:f1e8,US,Frankfurt,隧道,172 ms,224 Mbps,28774 kB/s
141.145.199.188,443,141.145.199.188,FR,,中转,88 ms,117 Mbps,15052 kB/s
150.230.20.174,443,2a0b:21c0:100a:1b0:0:bd82:d3c5:96c2,DE,Frankfurt,隧道,94 ms,104 Mbps,13312 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,74 ms,329 Mbps,42188 kB/s
130.61.114.171,443,130.61.114.171,DE,Frankfurt,中转,90 ms,216 Mbps,27648 kB/s
143.47.186.3,443,2a0b:21c0:100a:1b3:0:e70e:9343:a647,DE,Frankfurt,隧道,158 ms,118 Mbps,15155 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,222 ms,72 Mbps,9254 kB/s
130.162.183.134,443,98.98.156.22,AE,Frankfurt,隧道,93 ms,116 Mbps,14950 kB/s
193.122.55.17,443,2a0b:21c0:100a:1b0:0:710d:c86a:638c,DE,Frankfurt,隧道,97 ms,122 Mbps,15667 kB/s
152.70.59.50,443,2a0b:21c0:1007:c8:0:5e3a:cd7e:444a,DE,Frankfurt,隧道,93 ms,204 Mbps,26112 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,224 ms,113 Mbps,14540 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,71 ms,48 Mbps,6201 kB/s
138.2.165.67,443,2606:f240:f00:eaf1:0:dece:4f02:594d,US,Frankfurt,隧道,94 ms,131 Mbps,16793 kB/s
141.148.239.247,443,2a0b:21c0:1007:c7:0:ebce:312f:8f3f,DE,Frankfurt,隧道,94 ms,225 Mbps,28876 kB/s
143.47.187.41,443,98.98.166.190,AE,Frankfurt,隧道,93 ms,207 Mbps,26521 kB/s
158.101.65.202,443,2602:ffe4:407:21d9:0:ea75:758b:72b9,SG,Singapore,隧道,241 ms,60 Mbps,7741 kB/s
143.47.237.95,443,2a0b:21c0:100a:1b1:0:384c:eaea:d81e,DE,Frankfurt,隧道,95 ms,120 Mbps,15360 kB/s
141.147.180.141,443,2602:ffe4:407:21d9:0:1d69:147a:4590,SG,Singapore,隧道,239 ms,53 Mbps,6815 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,191 ms,80 Mbps,10240 kB/s
141.148.233.28,443,2a0b:21c0:1007:ca:0:1e7a:83c6:199a,DE,Frankfurt,隧道,94 ms,171 Mbps,21913 kB/s
152.67.150.228,443,163.123.193.9,DE,Frankfurt,隧道,93 ms,196 Mbps,25088 kB/s
193.123.81.105,443,193.123.81.105,AE,Milan,中转,183 ms,39 Mbps,5051 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,22 ms,59 Mbps,7599 kB/s
