中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,46 ms,66 Mbps,8518 kB/s
144.21.42.243,443,98.98.156.22,AE,Frankfurt,隧道,297 ms,118 Mbps,15155 kB/s
152.70.99.167,443,2602:ffe4:407:20da:0:1343:5678:3472,SG,Singapore,隧道,171 ms,92 Mbps,11878 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,169 ms,88 Mbps,11264 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,154 ms,121 Mbps,15564 kB/s
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,174 ms,87 Mbps,11161 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,230 ms,88 Mbps,11264 kB/s
141.144.198.240,443,2a0b:21c0:1007:cb:0:9e35:a5a0:368,DE,Frankfurt,隧道,154 ms,116 Mbps,14848 kB/s
152.67.138.19,443,23.236.112.222,AE,Frankfurt,隧道,157 ms,95 Mbps,12185 kB/s
141.147.46.179,443,98.98.166.58,AE,Frankfurt,隧道,156 ms,96 Mbps,12288 kB/s
141.144.244.179,443,2606:f240:f00:5a42:0:ba5d:9027:254,US,Frankfurt,隧道,155 ms,112 Mbps,14438 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,65 ms,10 Mbps,1402 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,169 ms,84 Mbps,10752 kB/s
141.148.225.216,443,2a0b:21c0:1007:1c9:0:807f:1b03:4808,DE,Frankfurt,隧道,155 ms,113 Mbps,14540 kB/s
130.162.242.176,443,2a0b:21c0:100a:1b6:0:3cb0:b14e:1366,DE,Frankfurt,隧道,155 ms,105 Mbps,13516 kB/s
130.61.133.52,443,2a0b:21c0:1007:1ca:0:4dbd:834b:d820,DE,Frankfurt,隧道,209 ms,91 Mbps,11673 kB/s
144.21.38.25,443,2606:f240:f00:83a7:0:ebdb:7b9e:b85e,US,Frankfurt,隧道,156 ms,85 Mbps,10956 kB/s
152.70.86.93,443,152.70.86.93,JP,Osaka,中转,150 ms,108 Mbps,13926 kB/s
193.122.55.197,443,98.98.156.30,AE,Frankfurt,隧道,198 ms,99 Mbps,12697 kB/s
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,149 ms,38 Mbps,4887 kB/s
193.123.81.105,443,193.123.81.105,AE,Frankfurt,中转,262 ms,27 Mbps,3508 kB/s
141.147.97.5,443,2a0b:21c0:1007:c7:0:cfba:3a1c:51a8,DE,Frankfurt,隧道,158 ms,113 Mbps,14540 kB/s
152.67.151.60,443,2a0b:21c0:1007:c8:0:5530:376c:760f,DE,Frankfurt,隧道,165 ms,82 Mbps,10547 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,169 ms,76 Mbps,9753 kB/s
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,138 ms,45 Mbps,5855 kB/s
8.222.204.128,443,8.222.204.128,SG,Singapore,中转,169 ms,85 Mbps,10956 kB/s
144.21.36.68,443,163.123.193.7,DE,Frankfurt,隧道,153 ms,112 Mbps,14438 kB/s
8.219.200.145,443,8.219.200.145,SG,Singapore,中转,194 ms,65 Mbps,8393 kB/s
141.147.51.21,443,141.147.51.21,DE,,中转,156 ms,106 Mbps,13619 kB/s
143.47.251.139,443,2a0b:21c0:100a:1b0:0:ffb2:a153:c5e6,DE,Frankfurt,隧道,232 ms,94 Mbps,12083 kB/s
141.144.201.164,443,2a0b:21c0:1007:ca:0:c1dc:43f9:acf4,DE,Frankfurt,隧道,239 ms,96 Mbps,12288 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,168 ms,64 Mbps,8219 kB/s
141.147.93.72,443,2606:f240:f00:5a42:0:726f:341:c56a,US,Frankfurt,隧道,155 ms,115 Mbps,14745 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,226 ms,44 Mbps,5679 kB/s
152.67.150.53,443,2a0b:21c0:100a:1b2:0:7c73:810c:2102,DE,Frankfurt,隧道,246 ms,93 Mbps,11980 kB/s
141.148.235.244,443,2a0b:21c0:100a:1b5:0:1bc2:aacb:d9b0,DE,Frankfurt,隧道,156 ms,79 Mbps,10137 kB/s
143.47.185.80,443,2a0b:21c0:1007:c7:0:12ec:e6e8:d104,DE,Frankfurt,隧道,155 ms,99 Mbps,12697 kB/s
8.219.164.237,443,8.219.164.237,SG,Singapore,中转,169 ms,54 Mbps,6912 kB/s
8.211.46.113,443,98.98.166.170,AE,Frankfurt,隧道,158 ms,90 Mbps,11571 kB/s
132.145.134.230,443,132.145.134.230,US,,中转,175 ms,84 Mbps,10854 kB/s
150.230.146.80,443,2a0b:21c0:1007:c8:0:183e:5716:9590,DE,Frankfurt,隧道,156 ms,85 Mbps,10956 kB/s
130.162.186.11,443,2a0b:21c0:100a:1b5:0:6cae:a06:9fe0,DE,Frankfurt,隧道,157 ms,84 Mbps,10752 kB/s
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,222 ms,84 Mbps,10752 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,24 ms,392 Mbps,50176 kB/s
141.147.102.29,443,2606:f240:f00:2be4:0:1a1:961d:2e97,US,Frankfurt,隧道,243 ms,122 Mbps,15667 kB/s
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,168 ms,80 Mbps,10342 kB/s
158.101.203.166,443,2606:f240:f00:6acf:0:99ea:f510:4159,US,Frankfurt,隧道,154 ms,115 Mbps,14745 kB/s
8.211.15.21,443,2a0b:21c0:1007:c9:0:a0c0:bb88:a9ad,DE,Frankfurt,隧道,158 ms,100 Mbps,12800 kB/s
130.61.87.219,443,130.61.87.219,DE,,中转,247 ms,0 Mbps,22 kB/s
150.230.47.17,443,2603:c024:c002:1aaa::666,US,San Jose,隧道,3 ms,896 Mbps,114688 kB/s
192.9.250.241,443,192.9.250.241,US,,中转,5 ms,76 Mbps,9801 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,170 ms,63 Mbps,8127 kB/s
143.47.249.82,443,2a0b:21c0:100a:1fa:0:56cf:260:d09a,DE,Frankfurt,隧道,157 ms,76 Mbps,9846 kB/s
141.144.202.132,443,2a0b:21c0:1007:1c9:0:8e0d:609:6786,DE,Frankfurt,隧道,235 ms,104 Mbps,13414 kB/s
141.147.74.20,443,141.147.74.20,GB,London,中转,150 ms,118 Mbps,15155 kB/s
150.230.127.38,443,23.236.112.222,AE,Frankfurt,隧道,158 ms,100 Mbps,12902 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,148 ms,40 Mbps,5247 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,168 ms,62 Mbps,8000 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,203 ms,118 Mbps,15155 kB/s
141.147.50.117,443,2606:f240:f00:dd8d:0:15cd:84ba:24b7,US,Frankfurt,隧道,156 ms,124 Mbps,15974 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,144 ms,126 Mbps,16179 kB/s
140.83.33.139,443,128.14.104.155,US,Singapore,隧道,168 ms,107 Mbps,13721 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,316 Mbps,40550 kB/s
141.147.67.191,443,98.98.166.58,AE,Frankfurt,隧道,157 ms,113 Mbps,14540 kB/s
158.101.208.11,443,2a0b:21c0:100a:1f9:0:7230:95a1:3611,DE,Frankfurt,隧道,155 ms,84 Mbps,10854 kB/s
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,172 ms,27 Mbps,3570 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,74 ms,47 Mbps,6077 kB/s
150.230.150.233,443,209.177.81.218,US,Frankfurt,隧道,157 ms,98 Mbps,12595 kB/s
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,169 ms,82 Mbps,10547 kB/s
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,171 ms,102 Mbps,13107 kB/s
144.21.40.210,443,2a0b:21c0:100a:1b5:0:f40:afc6:396,DE,Frankfurt,隧道,220 ms,84 Mbps,10854 kB/s
141.147.27.200,443,2a0b:21c0:1007:c7:0:6c65:a339:66ce,DE,Frankfurt,隧道,156 ms,110 Mbps,14131 kB/s
152.70.160.65,443,2a0b:21c0:1007:c7:0:8c89:7f5a:dd0b,DE,Frankfurt,隧道,174 ms,104 Mbps,13312 kB/s
130.61.192.187,443,163.123.193.9,DE,Frankfurt,隧道,154 ms,105 Mbps,13516 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,170 ms,78 Mbps,10035 kB/s
141.148.237.209,443,2a0b:21c0:100a:1b1:0:b7fc:fbb9:18d1,DE,Frankfurt,隧道,156 ms,96 Mbps,12390 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,155 ms,100 Mbps,12902 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,64 ms,1656 Mbps,211968 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,220 ms,40 Mbps,5120 kB/s
141.144.201.240,443,2a0b:21c0:1007:1c9:0:8b93:6b73:89ef,DE,Frankfurt,隧道,155 ms,85 Mbps,10956 kB/s
8.219.170.232,443,8.219.170.232,SG,Singapore,中转,169 ms,71 Mbps,9133 kB/s
143.47.180.216,443,2a0b:21c0:1007:1c7:0:294f:ac94:70eb,DE,Frankfurt,隧道,263 ms,104 Mbps,13414 kB/s
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,152 ms,10 Mbps,1284 kB/s
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,153 ms,29 Mbps,3816 kB/s
47.74.4.97,443,47.74.4.97,JP,Tokyo,中转,198 ms,32 Mbps,4220 kB/s
8.209.76.221,443,2a0b:21c0:100a:1fa:0:e0a5:922a:9f6a,DE,Frankfurt,隧道,158 ms,88 Mbps,11366 kB/s
8.219.144.168,443,8.219.144.168,SG,Singapore,中转,169 ms,63 Mbps,8151 kB/s
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,162 ms,122 Mbps,15667 kB/s
143.47.184.23,443,2a0b:21c0:100a:1b2:0:21f:fa77:2840,DE,Frankfurt,隧道,154 ms,104 Mbps,13414 kB/s
141.148.237.250,443,2a0b:21c0:1007:c7:0:8049:a222:438b,DE,Frankfurt,隧道,155 ms,121 Mbps,15564 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,170 ms,73 Mbps,9422 kB/s
152.70.55.42,443,2a0b:21c0:1007:c7:0:20cf:226f:754e,DE,Frankfurt,隧道,154 ms,108 Mbps,13926 kB/s
141.148.241.143,443,2606:f240:f00:2be4:0:6197:81d2:39d7,US,Frankfurt,隧道,154 ms,121 Mbps,15564 kB/s
150.230.122.230,443,2a0b:21c0:100a:1b2:0:f4b0:8262:23b9,DE,Frankfurt,隧道,156 ms,115 Mbps,14745 kB/s
141.148.245.125,443,98.98.156.14,AE,Frankfurt,隧道,155 ms,104 Mbps,13414 kB/s
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,170 ms,69 Mbps,8908 kB/s
8.209.74.132,443,2606:f240:f00:46c4:0:789e:3f00:4cbc,US,Frankfurt,隧道,158 ms,77 Mbps,9871 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,130 ms,25 Mbps,3280 kB/s
193.122.5.245,443,98.98.166.58,AE,Frankfurt,隧道,155 ms,113 Mbps,14540 kB/s
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,169 ms,63 Mbps,8175 kB/s
