中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
130.162.39.222,443,2606:f240:f00:5a42:0:2e6d:aa50:da4d,US,Frankfurt,隧道,153 ms,126 Mbps,16179 kB/s
152.67.138.167,443,2a0b:21c0:100a:1b6:0:544a:bf89:7dee,DE,Frankfurt,隧道,211 ms,96 Mbps,12288 kB/s
132.226.213.52,443,2606:f240:f00:dd8d:0:1de3:7b4e:a981,US,Frankfurt,隧道,156 ms,126 Mbps,16179 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,152 ms,0 Mbps,21 kB/s
193.122.2.46,443,2606:f240:f00:5a42:0:459c:66f3:4ba7,US,Frankfurt,隧道,158 ms,120 Mbps,15360 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,170 ms,68 Mbps,8793 kB/s
141.147.119.51,443,2a0b:21c0:100a:1b7:0:d55b:5c34:b83c,DE,Frankfurt,隧道,154 ms,119 Mbps,15257 kB/s
130.162.229.16,443,2606:f240:f00:2be4:0:6b6d:1035:c248,US,Amsterdam,隧道,153 ms,119 Mbps,15257 kB/s
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,216 ms,46 Mbps,5992 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,84 ms,2 Mbps,337 kB/s
129.159.196.174,443,2a0b:21c0:1007:1c7:0:5445:5bf4:207f,DE,Frankfurt,隧道,211 ms,115 Mbps,14745 kB/s
152.70.191.137,443,98.98.166.174,AE,Frankfurt,隧道,154 ms,112 Mbps,14438 kB/s
8.219.200.145,443,8.219.200.145,SG,Singapore,中转,172 ms,63 Mbps,8184 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,153 ms,78 Mbps,10035 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,171 ms,81 Mbps,10444 kB/s
8.219.164.237,443,8.219.164.237,SG,Singapore,中转,172 ms,68 Mbps,8785 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,80 ms,265 Mbps,33996 kB/s
150.230.21.191,443,2a0b:21c0:100a:1b5:0:aa57:c348:dfa,DE,Frankfurt,隧道,154 ms,105 Mbps,13516 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,132 ms,26 Mbps,3442 kB/s
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,171 ms,82 Mbps,10547 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,267 ms,66 Mbps,8526 kB/s
35.183.163.195,443,35.182.214.253,CA,,隧道,78 ms,229 Mbps,29388 kB/s
152.70.248.96,443,2a09:bac5:4756:1a14::299:49,KR,Seoul,隧道,129 ms,6 Mbps,838 kB/s
47.241.209.61,443,8.222.175.6,SG,,隧道,170 ms,2 Mbps,314 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,153 ms,36 Mbps,4659 kB/s
144.21.42.212,443,2606:f240:f00:83a7:0:1db1:56b:325f,US,Frankfurt,隧道,155 ms,124 Mbps,15872 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,153 ms,118 Mbps,15155 kB/s
152.67.65.201,443,152.67.65.201,CH,Milan,中转,234 ms,41 Mbps,5298 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,171 ms,89 Mbps,11468 kB/s
132.226.214.177,443,2a0b:21c0:100a:1b6:0:8b82:2c1d:d2e6,DE,Frankfurt,隧道,155 ms,116 Mbps,14950 kB/s
47.245.33.33,443,47.245.33.33,JP,Tokyo,中转,192 ms,16 Mbps,2076 kB/s
130.162.254.194,443,2606:f240:f00:83a7:0:1a30:7bfa:72dc,US,Frankfurt,隧道,155 ms,118 Mbps,15155 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,174 ms,85 Mbps,10956 kB/s
144.24.188.240,443,144.24.188.240,DE,Frankfurt,中转,156 ms,40 Mbps,5217 kB/s
152.70.60.210,443,2a0b:21c0:1007:c7:0:660a:c173:c339,DE,Frankfurt,隧道,154 ms,115 Mbps,14745 kB/s
141.147.111.104,443,2a0b:21c0:100a:1b6:0:bd8e:7fd1:4d2c,DE,Frankfurt,隧道,155 ms,103 Mbps,13209 kB/s
8.222.226.92,443,8.222.226.92,SG,Singapore,中转,172 ms,61 Mbps,7915 kB/s
131.186.62.248,443,131.186.62.248,JP,Tokyo,中转,151 ms,103 Mbps,13209 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,228 ms,35 Mbps,4492 kB/s
138.2.176.99,443,2a0b:21c0:1007:c9:0:3288:d862:532d,DE,Frankfurt,隧道,225 ms,125 Mbps,16076 kB/s
193.122.101.195,443,193.122.101.195,KR,Tokyo,中转,130 ms,144 Mbps,18534 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,79 ms,50 Mbps,6466 kB/s
8.222.222.64,443,8.222.222.64,SG,Singapore,中转,171 ms,84 Mbps,10854 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,150 ms,30 Mbps,3911 kB/s
141.144.204.247,443,2a0b:21c0:1007:1ca:0:133b:8535:cd92,DE,Frankfurt,隧道,154 ms,112 Mbps,14438 kB/s
130.162.209.227,443,23.236.112.222,AE,Frankfurt,隧道,160 ms,118 Mbps,15155 kB/s
130.162.191.104,443,2606:f240:f00:a683:0:976f:aee2:5427,US,Frankfurt,隧道,154 ms,119 Mbps,15257 kB/s
141.148.246.4,443,2606:f240:f00:2be4:0:eb5e:fb0a:9834,US,Frankfurt,隧道,153 ms,116 Mbps,14950 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,171 ms,78 Mbps,10035 kB/s
150.230.47.17,443,2603:c024:c002:1aaa::666,US,San Jose,隧道,25 ms,1600 Mbps,204800 kB/s
132.226.210.122,443,2a0b:21c0:100a:1b5:0:e288:da69:5448,DE,Düsseldorf,隧道,158 ms,78 Mbps,10035 kB/s
130.162.230.113,443,2a0b:21c0:1007:c9:0:cda4:f944:bc07,DE,Frankfurt,隧道,154 ms,122 Mbps,15667 kB/s
192.9.250.241,443,192.9.250.241,US,,中转,14 ms,76 Mbps,9767 kB/s
152.69.232.99,443,128.14.104.155,US,Singapore,隧道,195 ms,79 Mbps,10137 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,156 ms,41 Mbps,5369 kB/s
8.219.103.65,443,8.219.103.65,SG,Singapore,中转,260 ms,80 Mbps,10240 kB/s
140.238.83.58,443,2a0b:21c0:1007:ca:0:3cef:8b58:1f4e,DE,Frankfurt,隧道,155 ms,117 Mbps,15052 kB/s
129.159.47.255,443,129.159.47.255,US,San Jose,中转,93 ms,76 Mbps,9795 kB/s
138.2.167.156,443,2606:f240:f00:6acf:0:c130:5984:eb42,US,Frankfurt,隧道,154 ms,96 Mbps,12288 kB/s
130.162.218.206,443,2a0b:21c0:1007:c9:0:53b3:17a:6d44,DE,Frankfurt,隧道,153 ms,114 Mbps,14643 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,171 ms,81 Mbps,10444 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,146 ms,42 Mbps,5383 kB/s
193.123.62.167,443,2a0b:21c0:1007:1c8:0:3a42:6aa5:110f,DE,Frankfurt,隧道,152 ms,116 Mbps,14848 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,35 ms,297 Mbps,38092 kB/s
140.238.120.228,443,2a0b:21c0:100a:1b7:0:168a:d5cc:1973,DE,Frankfurt,隧道,308 ms,107 Mbps,13721 kB/s
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,172 ms,72 Mbps,9321 kB/s
141.144.242.189,443,98.98.156.26,AE,Frankfurt,隧道,156 ms,105 Mbps,13516 kB/s
141.147.98.237,443,2a0b:21c0:100a:1b6:0:7a73:a5e8:48fe,DE,Frankfurt,隧道,155 ms,104 Mbps,13312 kB/s
141.148.235.234,443,2a0b:21c0:100a:1b1:0:7625:4361:ce4b,DE,Frankfurt,隧道,153 ms,97 Mbps,12492 kB/s
158.101.190.153,443,163.123.193.24,DE,Frankfurt,隧道,154 ms,71 Mbps,9199 kB/s
140.238.15.251,443,140.238.15.251,KR,Seoul,中转,132 ms,34 Mbps,4447 kB/s
132.145.248.31,443,2606:f240:f00:a683:0:7565:4785:bef1,US,Frankfurt,隧道,153 ms,104 Mbps,13414 kB/s
130.162.170.107,443,2a0b:21c0:1007:1c7:0:b753:c692:3264,DE,Munich,隧道,154 ms,126 Mbps,16179 kB/s
8.219.51.211,443,8.219.51.211,SG,Singapore,中转,173 ms,84 Mbps,10854 kB/s
130.162.208.188,443,2a0b:21c0:1007:1c7:0:b112:e5a3:d122,DE,Frankfurt,隧道,250 ms,103 Mbps,13209 kB/s
141.147.105.124,443,2a0b:21c0:100a:1f9:0:a9b9:739e:5b74,DE,Frankfurt,隧道,155 ms,103 Mbps,13209 kB/s
138.3.245.155,443,163.123.193.6,DE,Frankfurt,隧道,154 ms,96 Mbps,12390 kB/s
130.162.176.63,443,2a0b:21c0:1007:1ca:0:857f:814d:2992,DE,Frankfurt,隧道,154 ms,77 Mbps,9932 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,173 ms,88 Mbps,11264 kB/s
